"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"Deka H.; Tripathy S.; Singhal D.","Deka, Hrishikesh (57223326770); Tripathy, Sushanta (48561830400); Singhal, Deepak (57200819644)","57223326770; 48561830400; 57200819644","ROLE OF IOT, BIG DATA, AND AI IN MANUFACTURING AND INDUSTRIAL SECTORS DURING COVID-19 PANDEMIC: AN ISM APPROACH","2024","Decision-Making Models and Applications in Manufacturing Environments","","","","423","443","20","0","10.1201/9781003394723-19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191845282&doi=10.1201%2f9781003394723-19&partnerID=40&md5=b9440480cc671c9a483605bd38c48d1e","Covid-19 has led to a devastating effect on the manufacturing sector. The lockdown due to Novel Corona virus has forced the manufacturing sector into a standstill which resulted in lower production due to lower off-take and availability of raw materials for production, derailing of the entire world supply chain. Digital innovation such as artificial intelligence (AI), big data and the internet of things (IoT) are the most advanced technologies that are revamping the manufacturing industries at an impressive course of action. In the 21st-century manufacturing industries are transforming into smart and intelligent manufacturing industries. AI, IoT are remodeling the ecosystem of the manufacturing sectors. This chapter scrutinizes and reviews the role of big data, IoT, and AI in assisting the manufacturing industries in the COVID-19 pandemic situation. This chapter also critically dissects and reviews the existing literature review and research papers related to the advancement of technologies like AI, IoT, and big data in upgrading the manufacturing sector and tackling any critical situation in the manufacturing industry. This chapter has ventured to pinpoint the accomplishment factors for the role of AI, IoT, and Big Data in manufacturing industries and dispense an interpretive structural model (ISM) to thrive a map of complicated interconnection and enormity among the pin-pointed ten challenges and Cross-Impact Matrix Multiplication Applied to Classification (MICMAC) analysis has classified them according to one’s driving and dependence power along with an exhibition of SSIM and reachability matrix of the identified factors. The chapter also illustrates a case study on digital transformation of an Indian-prominent tire manufacturing industry. © 2024 Apple Academic Press, Inc. Co-published with CRC Press (Taylor & Francis).","","Book chapter","Final","","Scopus","2-s2.0-85191845282"
"Yin L.; Li T.; Li G.; Besklubova S.; Zhong R.Y.; Zhao S.","Yin, Li (57891536900); Li, Tengda (59008974400); Li, Guojin (59007565400); Besklubova, Svetlana (57210945766); Zhong, Ray Y. (55353690000); Zhao, Shuxuan (57222715991)","57891536900; 59008974400; 59007565400; 57210945766; 55353690000; 57222715991","Cyber-physical internet based intelligent operation platform for off-site construction supply chain management","2024","Enterprise Information Systems","18","6","2346743","","","","3","10.1080/17517575.2024.2346743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191687743&doi=10.1080%2f17517575.2024.2346743&partnerID=40&md5=41ffc151a197cd9cda9fef1a0d69b16f","Off-site construction (OSC) projects rely on a smooth off-site supply chain. Previous studies improved supply chain management (SCM), while scantly mentioning business flow and recent advanced technology. This paper proposes a three-layered cyber-physical internet (CPI)-based platform for practical OSC-SCM. The scalable layer connects resources via an industrial driver (ID) for an information chain. The kernel layer designs protocols for digital twins (DT) and twin networks with incentive and information sharing mechanisms. The application layer offers thirteen services for offsite plant, logistics, and on-site assembly. A case study demonstrates 20% reduced construction time and millions of cost savings, proving enhanced efficiency. © 2024 Informa UK Limited, trading as Taylor & Francis Group.","","Article","Final","","Scopus","2-s2.0-85191687743"
"","","","ITPM 2024 - Proceedings of the 5th International Workshop IT Project Management","2024","CEUR Workshop Proceedings","3709","","","","","309","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197278614&partnerID=40&md5=b275da7985c1ea9bd89c065fa423662c","The proceedings contain 23 papers. The topics discussed include: digitalization of HR management in government agencies; information-analytical system for evaluating the activity of the scientific-pedagogical staff based on KPIs at Odesa National Maritime University; potential implications of artificial intelligence for project management information systems; project of an information system for restaurant business management; nonlinear regression models for software size estimation of data science and machine learning Java-applications; management of digitization of infrastructure projects and programs; supply chain management information system project with the use of digital twins; the analysis of the optimum equilibrium to a game and theory model of hierarchic game under conditions of a mixed joint project management; and genetic algorithm for maritime route planning projects with improved constraints.","","Conference review","Final","","Scopus","2-s2.0-85197278614"
"Frigerio N.; Tan B.; Matta A.","Frigerio, Nicla (55983680000); Tan, Baris (7402833947); Matta, Andrea (22958611800)","55983680000; 7402833947; 22958611800","Green Gateways: A concept for decisions in Circular-Oriented Economies","2024","Procedia CIRP","122","","","617","622","5","0","10.1016/j.procir.2024.01.088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193462519&doi=10.1016%2fj.procir.2024.01.088&partnerID=40&md5=822026f6e7dfd13a4fddb6889bacd32e","Industrial technologies have evolved towards circular-oriented manufacturing. New approaches in the management of production systems are needed to guarantee the success of such a circular approach. This paper identifies three research questions related to the complexities of decision-making within CEs and defines the concept of Green Gateways in the circular economy. A Green Gateway is a type of decision that supports to realizing the full potential of products and materials. Indeed, the potential value of products and materials must be assessed and leveraged and the concept of Green Gateway will be useful to identify common decisions and to define a common framework in the future. The integration of digital information and digital twins of products, processes, and circular value and supply chains emerges as a key factor in guiding decision-makers effectively, especially for Green Gateways where adequate information, tools and methods must be used to manage value retention options, product flows, production and pricing decisions jointly with the multiple objectives of profitability and sustainability. Additionally, this paper explores specific examples of circular economy use cases, drawing attention to their similarities and highlighting key insights. © 2024 The Author(s).","","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85193462519"
"Burattini S.; Montagna S.; Gentili N.; Galardi F.; Vespignani R.; Zanatto P.; Croatti A.; Ricci A.","Burattini, Samuele (58031888200); Montagna, Sara (35178038100); Gentili, Nicola (56311192500); Galardi, Francesca (56088324000); Vespignani, Roberto (57189636102); Zanatto, Paolo (59074000100); Croatti, Angelo (57009094200); Ricci, Alessandro (7202337846)","58031888200; 35178038100; 56311192500; 56088324000; 57189636102; 59074000100; 57009094200; 7202337846","A Digital Twins Approach for Oncologic Pharmaceutical Supply Chain","2024","2024 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events, PerCom Workshops 2024","","","","94","99","5","0","10.1109/PerComWorkshops59983.2024.10502569","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192496315&doi=10.1109%2fPerComWorkshops59983.2024.10502569&partnerID=40&md5=82cc93ae87236eeff674c29f789f69df","Oncological treatments are especially challenging due to the high degree of therapy personalisation that calls for the on-demand preparation of drugs and accurate timing in the distribution and delivery process. The suitability of the patient's condition to carry on with the ongoing therapy is monitored periodically and bootstraps the whole preparation of a new iteration of the treatment. This makes pharmaceutical supply chain management very difficult to optimise since it needs to be responsive to sudden change while efficient in terms of costs and usage of resources. In this paper, we identify the main challenges of the domain drawing from the available related works and the experience maturated in collaboration with a public cancer care and research institute. We then propose how Digital Twins could be used as a way to engineer a system to support the accurate tracking of such a complex reality to monitor effectiveness and efficiency, as well as collect data and support decision-making using predictions and simulations to optimise the overall process. © 2024 IEEE.","","Conference paper","Final","","Scopus","2-s2.0-85192496315"
"","","","2024 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events, PerCom Workshops 2024","2024","2024 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events, PerCom Workshops 2024","","","","","","884","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192439469&partnerID=40&md5=a2c54542e05651df0a01cac045b60dd4","The proceedings contain 156 papers. The topics discussed include: WiFi-based robust human and non-human motion recognition with deep learning; learned spike encoding of the channel response for low-power environment sensing; generative resident separation and multi-label classification for multi-person activity recognition; emotion prediction through eye tracking in affective computing systems; enhancing supply chain transparency through blockchain product passports; a care home deployment of a dynamic lighting and sensing system to support sleep cycles for dementia; painting the starry night using XiNets; human mobility: prediction and predictability; and representation of machine learning models to enhance simulation capabilities within digital twins in personalized healthcare.","","Conference review","Final","","Scopus","2-s2.0-85192439469"
"Pu Y.; Pan X.; Shang X.; Li M.; Zhang M.","Pu, Yang (59076656400); Pan, Xingchen (58197975300); Shang, Xianfa (57214139756); Li, Moye (58197975200); Zhang, Mengtian (59075585500)","59076656400; 58197975300; 57214139756; 58197975200; 59075585500","Cyber Physical Integrated Digital Twin Network Model for Enterprise Producing High-Performing Logistics","2024","Wireless Personal Communications","","","","","","","0","10.1007/s11277-024-11199-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195658946&doi=10.1007%2fs11277-024-11199-9&partnerID=40&md5=3c8d0ba9b15845d0f670c4ba7f0d289c","The study introduces a novel approach of ADAPT-CP, an Adaptive Cyber-Physical Network Model for high-performance logistics is an effective approach that combines the strengths of deep lean learning (DLL) and fuzzy logic (FL) rules within a cyber-physical system (CPS) framework. This model is specifically designed to address the difficulties of modern logistics networks and encourage operational efficiency in real-timmethodologye settings. To analyze and understand the huge datasets commonly found in industry 4.0 logistics systems, ADAPT-CP uses deep lean learning. This advanced learning is great in revealing hidden patterns and insights from non-Euclidean data structures, which are common in interconnected logistics networks. ADAPT-CP increases decision-making processes, predictive accuracy and resource allocation by directly implementing geometric deep learning techniques, including convolution and pooling, on cyber-physical graphs. Fuzzy logic rules have been built into ADAPT-CP, so that the model can efficiently handle the essential uncertainties and variabilities of logistical operations. By analyzing unclear data and applying a set of flexible rules that can adjust to changing situations, this combination makes it easier to make exact decisions. As a result, more control and efficiency are made possible by ADAPT-CP and it has an ability to provide strong, immediate solutions to logistical problems. Additionally, to improve the accuracy and reliability of logistics processes, ADAPT-CP's combined application of deep lean learning and fuzzy logic rules promotes sustainable growth by raising customer happiness and service quality. Moreover, execution of these combined techniques promotes cooperative relations across various supply chain stakeholders such as manufacturers, distributors and suppliers. ADAPT-CP effectively transforms logistics into a scalable, intelligent and adaptable management solution that will perform well in diverse modern business scenarios. It represents a significant advancement in digital twin technology design. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","","Article","Article in press","","Scopus","2-s2.0-85195658946"
"Zhang S.; Yu Q.; Wan S.; Cao H.; Huang Y.","Zhang, Shuo (58988335300); Yu, Qianhui (58988903600); Wan, Shuwei (58989051700); Cao, Hanyue (58988479300); Huang, Yun (57195915704)","58988335300; 58988903600; 58989051700; 58988479300; 57195915704","Digital supply chain: literature review of seven related technologies","2024","Manufacturing Review","11","","2024006","","","","0","10.1051/mfreview/2024006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190519865&doi=10.1051%2fmfreview%2f2024006&partnerID=40&md5=3f5d5d31bf17a88ac5f71011e6777231","This paper systematically reviews literature related with digital supply chains (DSC) and investigates the application status and development trend of different digital technologies in supply chain management. The review is conducted from the perspective of seven key digital supply chain technologies, i.e. Internet of Things (IoT) & Radio Frequency Identification (RFID), 5th Generation Mobile Communication Technology (5G), 3D Printing, Big data (BD), Blockchain, Digital Twins (DT), and Intelligent autonomous vehicles (IAVs). It highlights the main limitations and opportunities of the various DSC technologies, provides an overview of prior studies, and identifies knowledge gaps by outlining the advantages, weaknesses and restrictions of individual technology. The paper also aims at providing a development framework as a roadmap for the match of different digital technologies with different strategic goals. © S. Zhang et al., Published by EDP Sciences 2024.","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85190519865"
"Ponnusamy V.; Ekambaram D.; Zdravkovic N.","Ponnusamy, Vijayakumar (57209556967); Ekambaram, Dilliraj (57847534100); Zdravkovic, Nemanja (59341780800)","57209556967; 57847534100; 59341780800","Artifcial Intelligence (AI)-Enabled Digital Twin Technology in Smart Manufacturing","2024","Industry 4.0, Smart Manufacturing, and Industrial Engineering: Challenges and Opportunities","","","","248","270","22","0","10.1201/9781003473886-13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204846777&doi=10.1201%2f9781003473886-13&partnerID=40&md5=03271aa5ff2828e33b86e7217646c086","The revolutionary merging of digital twin technology with deep learning methods brings a new age of creativity and efficiency in smart manufacturing. Improving production processes has been much easier with the advent of digital twins (DTs), which simulate real-world procedures in a computer simulation. Affordable and systematic DT implementation has been made possible by the increasing use of cyber-physical systems (CPS), the Internet of Things (IoT), big data analytics, and cloud computing in the manufacturing sector. This can improve manufacturing, track the health of machines and equipment, and offer product support and services. By incorporating deep learning algorithms, digital twins can acquire information, adapt, and make smart predictions using complicated information sources. These digital twins can optimize schedules for manufacturing, anticipate equipment faults, and independently analyze massive datasets with the help of dominant neural networks. With an eye on deep learning’s revolutionary effect on production efficiency, this chapter delves into how insights produced by deep learning help with controlling and monitoring in real-time, guaranteeing flexible and agile production processes, quality assurance, supply chain management, and asset performance. © 2025 selection and editorial matter, Amit Kumar Tyagi, Shrikant Tiwari, and Sayed Sayeed Ahmad; individual chapters, the contributors.","","Book chapter","Final","","Scopus","2-s2.0-85204846777"
"Guerrazzi E.; Mininno V.; Aloini D.","Guerrazzi, Emanuele (57209859353); Mininno, Valeria (6506341363); Aloini, Davide (18436111500)","57209859353; 6506341363; 18436111500","Balancing picking and outbound loading efficiency in an SBS/RS through a digital twin","2024","Flexible Services and Manufacturing Journal","","","","","","","0","10.1007/s10696-024-09554-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195980418&doi=10.1007%2fs10696-024-09554-w&partnerID=40&md5=00bee5b2f2e95337d42b0975a1e72197","Warehouses are essential elements of almost every Supply Chain and have a significant impact on its performance. However, existing research on warehouse operations mainly aims at maximizing operational performance, neglecting their effect on downstream nodes. In this paper, we propose the use of a digital twin (DT) to support warehouse managers to identify the picking policy that most effectively balances picking and outbound loading efficiencies in an SBS/RS, with the aim of providing both a cost-effective and timely delivery to the subsequent nodes. The problem is set referring to a real case study of the logistics hub of a tire distributor company. The DT was built and validated based on real data from plant sensors and information systems. Afterwards, the DT was used to define three picking strategies that differently impact on both picking and outbound loading efficiency. The DT was then employed on a daily basis and fed with real orders, machine and rack availability to replicate stocking and picking operations and to directly communicate the recommended picking strategy to the warehouse PLC. Several demand scenarios have been considered to extend managerial inferences. Results show that the DT is a valuable tool to support the balancing of picking and outbound loading performance. © The Author(s) 2024.","","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85195980418"
"Li D.; Li J.","Li, Dongsheng (58249547400); Li, Jun (58249547500)","58249547400; 58249547500","Big data of enterprise supply chain under green financial system based on digital twin technology","2024","Kybernetes","53","2","","543","556","13","6","10.1108/K-02-2023-0291","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159302664&doi=10.1108%2fK-02-2023-0291&partnerID=40&md5=9065fe71349380544a430cb287066f1a","Purpose: Minimizing the impact on the surrounding environment and maximizing the use of production raw materials while ensuring that the relevant processes and services can be delivered within the specified time are the contents of enterprise supply chain management in the green financial system. Design/methodology/approach: With the continuous development of China's economy and the continuous deepening of the concept of sustainable development, how to further upgrade the enterprise supply chain management is an urgent need to solve. How to maximize the utilization of resources in the supply chain needs to be realized from the whole process of raw material purchase, transportation and processing. Findings: It was proved that digital twin technology had a partial intermediary role in the role of supply chain big data analysis capability on corporate finance, market, operation and other performance. Originality/value: This paper focused on describing how digital twin technology could be applied to big data analysis of enterprise supply chain under the green financial system and proved its usability through experiments. The experimental results showed that the indirect effect of the path big data analysis capability digital twin technology enterprise financial performance was 0.378. The indirect effect of the path big data analysis capability digital twin technology enterprise market performance was 0.341. The indirect effect of the path big data analysis capability digital twin technology enterprise operational performance was 0.374. © 2023, Emerald Publishing Limited.","","Article","Final","","Scopus","2-s2.0-85159302664"
"Le C.A.; Le C.H.; Nguyen V.D.; Zlatov N.; Le T.H.; Nguyen T.A.; Chu A.M.; Mahmud J.; Le V.D.; Nguyen H.Q.; Ramesh D.; Mengistu S.; Behera A.; Packianather M.S.","Le, Chi An (59374215100); Le, Chi Hieu (55169757300); Nguyen, Van Duy (57386874800); Zlatov, Nikolay (8886999700); Le, Tan Hung (57200378569); Nguyen, Tien Anh (57209165823); Chu, Anh My (36992389900); Mahmud, Jamaluddin (57200674664); Le, Van Dang (59374215200); Nguyen, Ho Quang (57200397056); Ramesh, Dharavath (54405698700); Mengistu, Samueal (6506075774); Behera, Amar (59374490400); Packianather, Michael S. (6506040810)","59374215100; 55169757300; 57386874800; 8886999700; 57200378569; 57209165823; 36992389900; 57200674664; 59374215200; 57200397056; 54405698700; 6506075774; 59374490400; 6506040810","DIGITAL TWINS FOR REAL-TIME MONITORING AND OPERATION OF COFFEE VALUE CHAIN AND SUPPLY CHAIN","2024","International Journal of Mechatronics and Applied Mechanics","2024","17","","114","124","10","0","10.17683/ijomam/issue17.13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206921680&doi=10.17683%2fijomam%2fissue17.13&partnerID=40&md5=ffdbe2f5988b975b6c7d7a8a082d9b37","There has been significant effort and a growing need to develop innovative and cost-effective solutions for real-time monitoring and operation of value chains and supply chains, especially to enhance the predictability and optimisation of complex production systems for a better adaptation to disruptions and market fluctuations as well as improved sustainability. This is particularly important when taking into account the impacts and emerging advancements of smart agriculture, smart manufacturing, Digital Twins, and Industry 5.0, where data-driven solutions and AI-enabled decision-making play an important role for improving real-time monitoring, quality control and management, and operational efficiency. This study presents a conceptual framework for integrating Digital Twins into a smart agriculture platform, focusing on the real-time monitoring and operation of the coffee value chain and supply chain, to demonstrate the potential of Digital Twins in advancing smart agriculture and digital supply chains. © 2024, Cefin Publishing House. All rights reserved.","","Article","Final","","Scopus","2-s2.0-85206921680"
"Tyapukhin A.P.","Tyapukhin, Alexey P. (57194337008)","57194337008","Theoretical prerequisites for designing a digital twin of value chain management","2024","International Journal of Value Chain Management","15","1","","15","40","25","0","10.1504/IJVCM.2024.140371","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200727043&doi=10.1504%2fIJVCM.2024.140371&partnerID=40&md5=7f47377995adf020b59c6dcb78bc7900","The purpose of the study is to create theoretical and methodological prerequisites for the design of a prototype digital twin of value chain management and new generation software products based on it. The results of the study include the sequence of the subject’s influence on the objects of value chain management; classification of management objects and their coding methodology; a set of actual classification attributes and dichotomies of value chain management objects and the sequence of their use; and a typical algorithm for managing value chain objects as a prototype of the future structure of the desired digital twin. The obtained results allow to identify and model subjects and objects of value chain management, take into account their uniqueness and develop management decisions taking into account environmental factors, including countermeasures to competing value chains. Copyright © 2024 Inderscience Enterprises Ltd.","","Article","Final","","Scopus","2-s2.0-85200727043"
"Dolgui A.; Ivanov D.","Dolgui, Alexandre (57201190890); Ivanov, Dmitry (56350235000)","57201190890; 56350235000","Internet of behaviors: conceptual model, practical and theoretical implications for supply chain and operations management","2024","International Journal of Production Research","","","","","","","0","10.1080/00207543.2024.2372008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198132271&doi=10.1080%2f00207543.2024.2372008&partnerID=40&md5=470769b621246c7bf359b0dd18444cfc","The Internet of Behaviours (IoB) is a network designed and used for replicating, understanding, predicting, and influencing human behaviour through data analytics. This study aims to advance our understanding of how the IoB will impact supply chain and operations management (SCOM). Based on a combination of the existing IoB frameworks with industrial Metaverse and digital supply chain twins, we propose a framework for IoB in SCOM encompassing management, organisation, and technology dimensions. We conclude that the IoB will impact a multitude of SCOM areas such as supply chain design, demand forecasting, sales and operations planning, distribution and transportation, inventory and production management, sourcing strategy and purchasing, vehicle routeing, supply chain resilience and sustainability. We offer a structured future research agenda pointing to new research questions and topics stemming from IoB-driven real-time visibility, data analytics, and remote control. Methodology of SCOM can also be enriched by the IoB through a combination of artificial intelligence and digital technology with operations research and behavioural operations management. © 2024 Informa UK Limited, trading as Taylor & Francis Group.","","Article","Article in press","","Scopus","2-s2.0-85198132271"
"Ushasukhanya S.; Malleswari T.Y.J.N.; Brindha R.; Renukadevi P.","Ushasukhanya, S. (57192368765); Malleswari, T. Y. J. Naga (56350010200); Brindha, R. (57773770400); Renukadevi, P. (57685997700)","57192368765; 56350010200; 57773770400; 57685997700","Optimizing business processes using AI and digital twin","2024","Digital Twin Technology and AI Implementations in Future-Focused Businesses","","","","206","216","10","0","10.4018/979-8-3693-1818-8.ch014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193916066&doi=10.4018%2f979-8-3693-1818-8.ch014&partnerID=40&md5=6e493049770c27d18f4f676df6366770","A key tactic for increasing efficiency throughout value chains is the strategic integration of AI and digital twin technologies to optimize business processes. Understanding current systems and gaining insights into optimization depend greatly on modeling and simulating business processes. The supply chain procedures described in this chapter use a novel conceptual implementation strategy that makes use of digital twin technology. During the process study stage, the technique enables an extensive technology and system evaluation. Furthermore, this approach is exemplified through a practical business scenario, demonstrating the implementation of the strategy in order fulfilment within a manufacturing plant. The utilization of business process modeling notation (BPMN) is employed to meticulously map both the existing (""as-is"") processes and the desired future state (""to-be"") processes. The synergy of artificial intelligence (AI) and digital twin technologies not only fosters innovation but also serves as a guiding beacon for businesses, steering them toward enduring success. © 2024, IGI Global. All rights reserved.","","Book chapter","Final","","Scopus","2-s2.0-85193916066"
"Coronado-Hernandez J.R.; Rios-Angulo W.A.; De Avila J.; Segovia C.E.; Gatica G.; De Leon F.J.-P.","Coronado-Hernandez, Jairo R. (54383095000); Rios-Angulo, Wilson A. (57218311249); De Avila, Jefferson (59232730400); Segovia, Camilo E. (57218311431); Gatica, Gustavo (55621116300); De Leon, Francisco Jones-Ponce (59232905200)","54383095000; 57218311249; 59232730400; 57218311431; 55621116300; 59232905200","Naval Antarctic Supply Chain Modeling and Simulation","2024","Procedia Computer Science","238","","","1023","1028","5","0","10.1016/j.procs.2024.06.129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199488627&doi=10.1016%2fj.procs.2024.06.129&partnerID=40&md5=4201d60a8c988ec1ac6d728eeb047a8e","In this research work, a discrete event simulation model (DES) is developed as a digital twin of the supply chain of Antarctic campaigns in a navy ship. This simulation aims to describe the system with all its details and complexity and, through this, support decision-making that identifies a supply chain configuration that significantly improves efficiency based on costs and operating times. For this, the Anylogistix simulation tool generates scenarios and visualizes results through charts and key performance indicators. © 2024 Elsevier B.V.. All rights reserved.","","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85199488627"
"Daniela Huayanca Quispe S.; Mirely Moza Villalobos K.; Rodriguez S.","Daniela Huayanca Quispe, Sheyla (59325318800); Mirely Moza Villalobos, Keyla (59326203900); Rodriguez, Sol (57188849302)","59325318800; 59326203900; 57188849302","Technologies of Industry 4.0 for the next fashion revolution: A systematic literature review","2024","Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology","","","","","","","0","10.18687/LACCEI2024.1.1.582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203825739&doi=10.18687%2fLACCEI2024.1.1.582&partnerID=40&md5=fba2d48d3c25fbcbb86953e12dbdd2ba","Fashion industry has undergone significant changes over time due to the variations on perception, exigencies, and activities of customers around the world. Because of the fluctuating and increasing demand, one of the main concerns of fashion-related activities is pollution, particularly water and air pollution. To that, some technologies from industry 4.0 technologies could be useful for mitigating the negative environmental impact in the fashion industry. Based on this challenge, the article aims to identify the most relevant technological applications of Industry 4.0 to enhance sustainability in production and service processes. To achieve this, two methodologies (PICOC and PRISMA) were used to search and select articles for the research. Through inclusion and exclusion criteria, thirty open-access articles from the Scopus database were chosen. Nowadays, it is known that fashion industry activities represent approximately 8% to 10% of global carbon emissions contributes to industrial wastewater pollution (20%), and generates substantial amounts of waste of materials and energy. Hence, there are various Industry 4.0 technologies that can be combined to improve sustainability in different processes within the fashion industry (textile manufacturing, supply chain management, store management, user experience). After the analysis, it was concluded that technologies such as virtual reality, digital twins, and artificial intelligence, belonging to Industry 4.0, offer a potential solution to mitigate the negative environmental impact of the fashion industry an enrich the customer-business interaction. Further works must explore the benefits and limitations of these technologies, focusing in small and midsize enterprises (SMEs). © 2024 Latin American and Caribbean Consortium of Engineering Institutions. All rights reserved.","","Conference paper","Final","","Scopus","2-s2.0-85203825739"
"Venkatesan R.; Benny B.; Shirley C.P.; Berin Jeba Jingle I.","Venkatesan, R. (56375685100); Benny, Brijit (59287687300); Shirley, C.P. (57189576649); Berin Jeba Jingle, I. (56466032800)","56375685100; 59287687300; 57189576649; 56466032800","Role of Digital Twins in Promoting Sustainability in Commerce","2024","Proceedings - 2024 4th International Conference on Pervasive Computing and Social Networking, ICPCSN 2024","","","","994","998","4","0","10.1109/ICPCSN62568.2024.00166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201715631&doi=10.1109%2fICPCSN62568.2024.00166&partnerID=40&md5=e077f193b098150b94af3a94717ec043","As the virtual and real worlds continue to collide, digital twins may become important tools for finding solutions to some of the most serious challenges facing the sustainability movement. These challenges include making effective use of resources, adjusting to the effects of climate change, and ensuring that everyone has access to a high quality of life. The first steps have been taken on the road to making widespread use of digital twins. It is imperative that their connectedness should be secured if their potential is to be fully utilized. This presents a number of challenging situations. The digital transition may make it possible to achieve several of the United Nations' sustainable development objectives. Data and technology should assist the user to make appropriate judgements that are better suited to their circumstances. It's feasible that the computer model can see into the future and predict the user about the consequence. This may be used to make predictions about the future, analyze the present, and analyze how a decision will play out in the future. These features may have an effect on a number of different sectors including commerce. The use of dynamic modelling may be beneficial for improving efficiency in the management of supply chains, transportation, and crowds. © 2024 IEEE.","","Conference paper","Final","","Scopus","2-s2.0-85201715631"
"Chatterjee P.; Das D.; Rawat D.B.; Ghosh U.; Banerjee S.; Al-Numay M.S.","Chatterjee, Pushpita (26632741200); Das, Debashis (57199928317); Rawat, Danda B (24725483600); Ghosh, Uttam (34972835800); Banerjee, Sourav (56888927800); Al-Numay, Mohammed S. (6602612176)","26632741200; 57199928317; 24725483600; 34972835800; 56888927800; 6602612176","Digital Twins and Blockchain Fusion for Security in Metaverse-Driven Consumer Supply Chains","2024","IEEE Transactions on Consumer Electronics","","","","","","","0","10.1109/TCE.2024.3477297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206899685&doi=10.1109%2fTCE.2024.3477297&partnerID=40&md5=e6b3b9525fb8f86df5182cafd5d97eb3","In the rapidly growing consumer electronics industry, continuous innovation drives increasing demand for smart devices and advanced gadgets. However, this sector faces changing demands and complex supply chains due to the management of rapid technological advancements and consumer expectations. Seamless communication between suppliers and consumers is essential to optimize production processes, minimize waste, and enhance overall customer satisfaction. In response to these demands, this paper presents a solution that combines Digital Twins (DT) and blockchain to improve security and efficiency in metaverse-inspired consumer-oriented supply chains. Herein, DT is used to represent products in virtual spaces and blockchain secures sensitive information using encryption and access controls. Our objective is to create a transparent, secure, and user-friendly system where consumers and suppliers can interact in real-time to verify product details and access important information of featured tasks like warranties and payment settlement. Smart contracts automates these tasks to make processes faster and more reliable. Through experiments, we tested how well the system maintains product integrity, authenticates transactions, and supports consumer-oriented supply chain (CSC) operations. Comparative analysis shows that our approach improves security, performance, and scalability over existing methods. Furthermore, the proposed system not only enhances security, trust, and transparency in CSC but also sets a higher standard for consumer demands and satisfaction. The findings point to the potential solution for future innovations in metaverse-driven CSC management systems.  © 1975-2011 IEEE.","","Article","Article in press","","Scopus","2-s2.0-85206899685"
